,train,val
0,TCGA-4H-AAAK,TCGA-3C-AALI
1,TCGA-5L-AAT0,TCGA-3C-AALJ
2,TCGA-5L-AAT1,TCGA-3C-AALK
3,TCGA-5T-A9QA,TCGA-A1-A0SF
4,TCGA-A1-A0SB,TCGA-A1-A0SN
5,TCGA-A1-A0SD,TCGA-A1-A0SP
6,TCGA-A1-A0SE,TCGA-A2-A04N
7,TCGA-A1-A0SH,TCGA-A2-A04Q
8,TCGA-A1-A0SI,TCGA-A2-A04U
9,TCGA-A1-A0SJ,TCGA-A2-A04X
10,TCGA-A1-A0SK,TCGA-A2-A0CU
11,TCGA-A1-A0SM,TCGA-A2-A0EO
12,TCGA-A1-A0SQ,TCGA-A2-A0ER
13,TCGA-A2-A04P,TCGA-A2-A0EW
14,TCGA-A2-A04R,TCGA-A2-A0ST
15,TCGA-A2-A04T,TCGA-A2-A0SU
16,TCGA-A2-A04V,TCGA-A2-A0SV
17,TCGA-A2-A04W,TCGA-A2-A0T1
18,TCGA-A2-A04Y,TCGA-A2-A0YE
19,TCGA-A2-A0CK,TCGA-A2-A0YI
20,TCGA-A2-A0CL,TCGA-A2-A1FZ
21,TCGA-A2-A0CM,TCGA-A2-A25A
22,TCGA-A2-A0CP,TCGA-A2-A3XU
23,TCGA-A2-A0CQ,TCGA-A2-A3XV
24,TCGA-A2-A0CR,TCGA-A2-A3XX
25,TCGA-A2-A0CS,TCGA-A7-A26F
26,TCGA-A2-A0CT,TCGA-A7-A4SD
27,TCGA-A2-A0CV,TCGA-A7-A6VW
28,TCGA-A2-A0CW,TCGA-A8-A07J
29,TCGA-A2-A0CX,TCGA-A8-A07U
30,TCGA-A2-A0D0,TCGA-A8-A07Z
31,TCGA-A2-A0D3,TCGA-A8-A084
32,TCGA-A2-A0D4,TCGA-A8-A08B
33,TCGA-A2-A0EM,TCGA-A8-A08I
34,TCGA-A2-A0EN,TCGA-A8-A08R
35,TCGA-A2-A0EP,TCGA-A8-A095
36,TCGA-A2-A0EQ,TCGA-A8-A097
37,TCGA-A2-A0ES,TCGA-A8-A09D
38,TCGA-A2-A0ET,TCGA-A8-A09E
39,TCGA-A2-A0EU,TCGA-A8-A09T
40,TCGA-A2-A0EV,TCGA-A8-A09V
41,TCGA-A2-A0EX,TCGA-A8-A09X
42,TCGA-A2-A0EY,TCGA-A8-A0A9
43,TCGA-A2-A0SW,TCGA-AC-A23H
44,TCGA-A2-A0SX,TCGA-AC-A2QH
45,TCGA-A2-A0SY,TCGA-AC-A3OD
46,TCGA-A2-A0T0,TCGA-AC-A3QQ
47,TCGA-A2-A0T2,TCGA-AC-A3W5
48,TCGA-A2-A0T3,TCGA-AC-A4ZE
49,TCGA-A2-A0T4,TCGA-AC-A6IW
50,TCGA-A2-A0T5,TCGA-AC-A6IX
51,TCGA-A2-A0T6,TCGA-AC-A7VC
52,TCGA-A2-A0T7,TCGA-AN-A03Y
53,TCGA-A2-A0YC,TCGA-AN-A0AJ
