,train,val
0,TCGA-3C-AALI,TCGA-A1-A0SD
1,TCGA-3C-AALJ,TCGA-A1-A0SM
2,TCGA-3C-AALK,TCGA-A2-A0CM
3,TCGA-4H-AAAK,TCGA-A2-A0CT
4,TCGA-5L-AAT0,TCGA-A2-A0CV
5,TCGA-5L-AAT1,TCGA-A2-A0D3
6,TCGA-5T-A9QA,TCGA-A2-A0EN
7,TCGA-A1-A0SB,TCGA-A2-A0EU
8,TCGA-A1-A0SE,TCGA-A2-A0SY
9,TCGA-A1-A0SF,TCGA-A2-A0T3
10,TCGA-A1-A0SH,TCGA-A2-A0T6
11,TCGA-A1-A0SI,TCGA-A2-A0YH
12,TCGA-A1-A0SJ,TCGA-A2-A0YL
13,TCGA-A1-A0SK,TCGA-A2-A1G0
14,TCGA-A1-A0SN,TCGA-A2-A25B
15,TCGA-A1-A0SP,TCGA-A2-A25F
16,TCGA-A1-A0SQ,TCGA-A2-A3KD
17,TCGA-A2-A04N,TCGA-A2-A3XT
18,TCGA-A2-A04P,TCGA-A2-A3XZ
19,TCGA-A2-A04Q,TCGA-A2-A3Y0
20,TCGA-A2-A04R,TCGA-A2-A4S2
21,TCGA-A2-A04T,TCGA-A2-A4S3
22,TCGA-A2-A04U,TCGA-XX-A89A
23,TCGA-A2-A04V,TCGA-A7-A0CG
24,TCGA-A2-A04W,TCGA-A7-A13D
25,TCGA-A2-A04X,TCGA-A7-A13F
26,TCGA-A2-A04Y,TCGA-A7-A26J
27,TCGA-A2-A0CK,TCGA-A7-A425
28,TCGA-A2-A0CL,TCGA-A7-A5ZV
29,TCGA-A2-A0CP,TCGA-A7-A5ZX
30,TCGA-A2-A0CQ,TCGA-A8-A06O
31,TCGA-A2-A0CR,TCGA-A8-A06P
32,TCGA-A2-A0CS,TCGA-A8-A06Q
33,TCGA-A2-A0CU,TCGA-A8-A06T
34,TCGA-A2-A0CW,TCGA-A8-A06U
35,TCGA-A2-A0CX,TCGA-A8-A079
36,TCGA-A2-A0D0,TCGA-A8-A07B
37,TCGA-A2-A0D4,TCGA-A8-A07E
38,TCGA-A2-A0EM,TCGA-A8-A08F
39,TCGA-A2-A0EO,TCGA-A8-A08O
40,TCGA-A2-A0EP,TCGA-A8-A08P
41,TCGA-A2-A0EQ,TCGA-A8-A08X
42,TCGA-A2-A0ER,TCGA-A8-A091
43,TCGA-A2-A0ES,TCGA-A8-A09B
44,TCGA-A2-A0ET,TCGA-A8-A09M
45,TCGA-A2-A0EV,TCGA-A8-A0A1
46,TCGA-A2-A0EW,TCGA-A8-A0AD
47,TCGA-A2-A0EX,TCGA-AC-A23C
48,TCGA-A2-A0EY,TCGA-AC-A2FG
49,TCGA-A2-A0ST,TCGA-AC-A2FK
50,TCGA-A2-A0SU,TCGA-AC-A5XS
51,TCGA-A2-A0SV,TCGA-AN-A0AS
52,TCGA-A2-A0SW,TCGA-AN-A0FX
53,TCGA-A2-A0SX,TCGA-AN-A0FZ
54,TCGA-A2-A0T0,TCGA-AN-A0XN
55,TCGA-A2-A0T1,TCGA-AN-A0XP
56,TCGA-A2-A0T2,TCGA-AO-A03U
57,TCGA-A2-A0T4,TCGA-AO-A0J5
58,TCGA-A2-A0T5,TCGA-AO-A0J8
59,TCGA-A2-A0T7,TCGA-AO-A0JB
60,TCGA-A2-A0YC,TCGA-AO-A0JE
