,train,val
0,TCGA-3C-AALI,TCGA-5T-A9QA
1,TCGA-3C-AALJ,TCGA-A1-A0SB
2,TCGA-3C-AALK,TCGA-A1-A0SE
3,TCGA-4H-AAAK,TCGA-A1-A0SI
4,TCGA-5L-AAT0,TCGA-A1-A0SJ
5,TCGA-5L-AAT1,TCGA-A2-A04R
6,TCGA-A1-A0SD,TCGA-A2-A04V
7,TCGA-A1-A0SF,TCGA-A2-A04W
8,TCGA-A1-A0SH,TCGA-A2-A04Y
9,TCGA-A1-A0SK,TCGA-A2-A0CK
10,TCGA-A1-A0SM,TCGA-A2-A0CL
11,TCGA-A1-A0SN,TCGA-A2-A0CW
12,TCGA-A1-A0SP,TCGA-A2-A0EY
13,TCGA-A1-A0SQ,TCGA-A2-A0SX
14,TCGA-A2-A04N,TCGA-A2-A0T2
15,TCGA-A2-A04P,TCGA-A2-A0T4
16,TCGA-A2-A04Q,TCGA-A2-A0T7
17,TCGA-A2-A04T,TCGA-A2-A0YG
18,TCGA-A2-A04U,TCGA-A2-A0YT
19,TCGA-A2-A04X,TCGA-A2-A1FV
20,TCGA-A2-A0CM,TCGA-A2-A1G4
21,TCGA-A2-A0CP,TCGA-A2-A4S1
22,TCGA-A2-A0CQ,TCGA-A7-A0CH
23,TCGA-A2-A0CR,TCGA-A7-A0CJ
24,TCGA-A2-A0CS,TCGA-A7-A0DB
25,TCGA-A2-A0CT,TCGA-A7-A26E
26,TCGA-A2-A0CU,TCGA-A7-A56D
28,TCGA-A2-A0CX,TCGA-A8-A06Y
29,TCGA-A2-A0D0,TCGA-A8-A076
30,TCGA-A2-A0D3,TCGA-A8-A07F
31,TCGA-A2-A0D4,TCGA-A8-A07O
32,TCGA-A2-A0EM,TCGA-A8-A07P
33,TCGA-A2-A0EN,TCGA-A8-A082
34,TCGA-A2-A0EO,TCGA-A8-A08L
35,TCGA-A2-A0EP,TCGA-A8-A08T
36,TCGA-A2-A0EQ,TCGA-A8-A093
37,TCGA-A2-A0ER,TCGA-A8-A099
38,TCGA-A2-A0ES,TCGA-A8-A09C
39,TCGA-A2-A0ET,TCGA-A8-A09Q
40,TCGA-A2-A0EU,TCGA-A8-A09R
41,TCGA-A2-A0EV,TCGA-A8-A09W
42,TCGA-A2-A0EW,TCGA-A8-A0AB
43,TCGA-A2-A0EX,TCGA-AC-A2B8
44,TCGA-A2-A0ST,TCGA-AC-A2BM
45,TCGA-A2-A0SU,TCGA-AC-A2FB
46,TCGA-A2-A0SV,TCGA-AC-A2FO
47,TCGA-A2-A0SW,TCGA-AC-A3HN
48,TCGA-A2-A0SY,TCGA-AC-A3YI
49,TCGA-A2-A0T0,TCGA-AC-A6NO
50,TCGA-A2-A0T1,TCGA-AC-A7VB
51,TCGA-A2-A0T3,TCGA-AC-A8OP
52,TCGA-A2-A0T5,TCGA-AC-A8OQ
53,TCGA-A2-A0T6,TCGA-AN-A041
54,TCGA-A2-A0YC,TCGA-AN-A046
55,TCGA-A2-A0YD,TCGA-AN-A0AL
56,TCGA-A2-A0YE,TCGA-AN-A0FW
57,TCGA-A2-A0YF,TCGA-AN-A0XT
58,TCGA-A2-A0YH,TCGA-AO-A03L
59,TCGA-A2-A0YI,TCGA-AO-A03M
60,TCGA-A2-A0YJ,TCGA-AO-A03N
61,TCGA-A2-A0YK,TCGA-AO-A0J7
62,TCGA-A2-A0YL,TCGA-AO-A0JD
63,TCGA-A2-A1FW,TCGA-AO-A12E
64,TCGA-A2-A1FX,TCGA-AO-A12G
65,TCGA-A2-A1FZ,TCGA-AO-A12H
66,TCGA-A2-A1G0,TCGA-AO-A1KP
67,TCGA-A2-A1G1,TCGA-AQ-A04J
68,TCGA-A2-A1G6,TCGA-AQ-A54O
69,TCGA-A2-A259,TCGA-AR-A0TP
70,TCGA-A2-A25A,TCGA-AR-A0TX
71,TCGA-A2-A25B,TCGA-AR-A1AJ
72,TCGA-A2-A25C,TCGA-AR-A1AK
73,TCGA-A2-A25D,TCGA-AR-A1AU
74,TCGA-A2-A25E,TCGA-AR-A24M
75,TCGA-A2-A25F,TCGA-AR-A24N
76,TCGA-A2-A3KD,TCGA-AR-A24O
77,TCGA-A2-A3XT,TCGA-AR-A24T
78,TCGA-A2-A3XU,TCGA-AR-A24W
79,TCGA-A2-A3XV,TCGA-AR-A24Z
80,TCGA-A2-A3XW,TCGA-AR-A2LE
81,TCGA-A2-A3XX,TCGA-AR-A5QP
82,TCGA-A2-A3XZ,TCGA-B6-A0I1
83,TCGA-A2-A3Y0,TCGA-B6-A0IC
84,TCGA-A2-A4S2,TCGA-B6-A0RI
85,TCGA-A2-A4S3,TCGA-B6-A0RO
87,TCGA-A7-A0CE,TCGA-B6-A1KC
88,TCGA-A7-A0CG,TCGA-BH-A0AZ
89,TCGA-A7-A0D9,TCGA-BH-A0B0
90,TCGA-A7-A0DA,TCGA-BH-A0B5
91,TCGA-A7-A13D,TCGA-BH-A0BA
92,TCGA-A7-A13E,TCGA-BH-A0BL
93,TCGA-A7-A13F,TCGA-BH-A0BP
94,TCGA-A7-A13G,TCGA-BH-A0BR
95,TCGA-A7-A26F,TCGA-BH-A0C0
96,TCGA-A7-A26G,TCGA-BH-A0DP
97,TCGA-A7-A26H,TCGA-BH-A0E6
98,TCGA-A7-A26I,TCGA-BH-A0H0
99,TCGA-A7-A26J,TCGA-BH-A0HA
100,TCGA-A7-A2KD,TCGA-BH-A0HK
101,TCGA-A7-A3RF,TCGA-BH-A0HW
102,TCGA-A7-A425,TCGA-BH-A18J
103,TCGA-A7-A4SD,TCGA-BH-A18N
104,TCGA-A7-A4SE,TCGA-BH-A18P
105,TCGA-A7-A5ZV,TCGA-BH-A18S
106,TCGA-A7-A5ZW,TCGA-BH-A1ET
107,TCGA-A7-A5ZX,TCGA-BH-A1F5
108,TCGA-A7-A6VV,TCGA-BH-A1F8
109,TCGA-A7-A6VW,TCGA-BH-A1FC
110,TCGA-A7-A6VY,TCGA-BH-A1FG
111,TCGA-A8-A06O,TCGA-BH-A1FH
112,TCGA-A8-A06P,TCGA-BH-A42V
113,TCGA-A8-A06Q,TCGA-C8-A12Y
114,TCGA-A8-A06R,TCGA-C8-A1HI
115,TCGA-A8-A06T,TCGA-C8-A1HJ
116,TCGA-A8-A06U,TCGA-C8-A26V
117,TCGA-A8-A06X,TCGA-C8-A8HQ
118,TCGA-A8-A06Z,TCGA-D8-A140
119,TCGA-A8-A075,TCGA-D8-A141
120,TCGA-A8-A079,TCGA-D8-A143
121,TCGA-A8-A07B,TCGA-D8-A1JH
122,TCGA-A8-A07E,TCGA-D8-A1X7
123,TCGA-A8-A07G,TCGA-D8-A1XB
124,TCGA-A8-A07I,TCGA-D8-A1XF
125,TCGA-A8-A07J,TCGA-D8-A1XJ
126,TCGA-A8-A07L,TCGA-D8-A1XS
127,TCGA-A8-A07U,TCGA-D8-A1XT
128,TCGA-A8-A07W,TCGA-D8-A1XW
129,TCGA-A8-A07Z,TCGA-D8-A27F
130,TCGA-A8-A084,TCGA-D8-A27L
131,TCGA-A8-A085,TCGA-D8-A27R
132,TCGA-A8-A086,TCGA-D8-A27V
133,TCGA-A8-A08A,TCGA-D8-A4Z1
134,TCGA-A8-A08B,TCGA-E2-A105
135,TCGA-A8-A08F,TCGA-E2-A108
136,TCGA-A8-A08G,TCGA-E2-A10B
137,TCGA-A8-A08I,TCGA-E2-A14N
138,TCGA-A8-A08J,TCGA-E2-A14Z
139,TCGA-A8-A08O,TCGA-E2-A158
140,TCGA-A8-A08P,TCGA-E2-A15G
141,TCGA-A8-A08R,TCGA-E2-A15K
142,TCGA-A8-A08S,TCGA-E2-A15R
143,TCGA-A8-A08X,TCGA-E2-A1B0
144,TCGA-A8-A08Z,TCGA-E2-A1B1
145,TCGA-A8-A091,TCGA-E2-A1B4
146,TCGA-A8-A092,TCGA-E2-A1BC
147,TCGA-A8-A095,TCGA-E2-A1BD
148,TCGA-A8-A097,TCGA-E2-A1IF
149,TCGA-A8-A09A,TCGA-E2-A1L6
150,TCGA-A8-A09B,TCGA-E2-A1LG
151,TCGA-A8-A09D,TCGA-E2-A1LL
152,TCGA-A8-A09E,TCGA-E2-A573
153,TCGA-A8-A09I,TCGA-E9-A1N8
154,TCGA-A8-A09K,TCGA-E9-A1QZ
155,TCGA-A8-A09M,TCGA-E9-A1R6
156,TCGA-A8-A09N,TCGA-E9-A1RA
157,TCGA-A8-A09T,TCGA-E9-A1RB
158,TCGA-A8-A09V,TCGA-E9-A1RC
159,TCGA-A8-A09X,TCGA-E9-A247
160,TCGA-A8-A0A1,TCGA-E9-A24A
161,TCGA-A8-A0A2,TCGA-E9-A5FL
162,TCGA-A8-A0A4,TCGA-E9-A5UO
163,TCGA-A8-A0A7,TCGA-EW-A1IX
164,TCGA-A8-A0A9,TCGA-EW-A1J1
165,TCGA-A8-A0AD,TCGA-EW-A1J2
166,TCGA-AC-A23C,TCGA-EW-A1OZ
167,TCGA-AC-A23E,TCGA-EW-A1P0
168,TCGA-AC-A23H,TCGA-EW-A1P5
169,TCGA-AC-A2BK,TCGA-EW-A1P8
170,TCGA-AC-A2FF,TCGA-EW-A2FW
171,TCGA-AC-A2FG,TCGA-EW-A6SC
